0,len-slider,1000,Len Slider
Customer,wp-shop-original,3000,WP Shop
FlAG Add skins,flash-album-gallery,20000,Gallery – Flagallery Photo Portfolio
FlAG Change options,flash-album-gallery,20000,Gallery – Flagallery Photo Portfolio
FlAG Change skin,flash-album-gallery,20000,Gallery – Flagallery Photo Portfolio
FlAG Delete skins,flash-album-gallery,20000,Gallery – Flagallery Photo Portfolio
FlAG Import folder,flash-album-gallery,20000,Gallery – Flagallery Photo Portfolio
FlAG Manage banners,flash-album-gallery,20000,Gallery – Flagallery Photo Portfolio
FlAG Manage gallery,flash-album-gallery,20000,Gallery – Flagallery Photo Portfolio
FlAG Manage music,flash-album-gallery,20000,Gallery – Flagallery Photo Portfolio
FlAG Manage others gallery,flash-album-gallery,20000,Gallery – Flagallery Photo Portfolio
FlAG Manage video,flash-album-gallery,20000,Gallery – Flagallery Photo Portfolio
FlAG Upload images,flash-album-gallery,20000,Gallery – Flagallery Photo Portfolio
FlAG Use TinyMCE,flash-album-gallery,20000,Gallery – Flagallery Photo Portfolio
FlAG iFrame page,flash-album-gallery,20000,Gallery – Flagallery Photo Portfolio
FlAG overview,flash-album-gallery,20000,Gallery – Flagallery Photo Portfolio
NextGEN Attach Interface,nextgen-gallery,900000,WordPress Gallery Plugin – NextGEN Gallery
NextGEN Change options,nextcellent-gallery-nextgen-legacy,20000,NextCellent Gallery – NextGEN Legacy
NextGEN Change options,nextgen-gallery,900000,WordPress Gallery Plugin – NextGEN Gallery
NextGEN Change style,nextcellent-gallery-nextgen-legacy,20000,NextCellent Gallery – NextGEN Legacy
NextGEN Change style,nextgen-gallery,900000,WordPress Gallery Plugin – NextGEN Gallery
NextGEN Edit album,nextcellent-gallery-nextgen-legacy,20000,NextCellent Gallery – NextGEN Legacy
NextGEN Edit album,nextgen-gallery,900000,WordPress Gallery Plugin – NextGEN Gallery
NextGEN Gallery overview,nextcellent-gallery-nextgen-legacy,20000,NextCellent Gallery – NextGEN Legacy
NextGEN Gallery overview,nextgen-gallery,900000,WordPress Gallery Plugin – NextGEN Gallery
NextGEN Manage gallery,nextcellent-gallery-nextgen-legacy,20000,NextCellent Gallery – NextGEN Legacy
NextGEN Manage gallery,nextgen-gallery,900000,WordPress Gallery Plugin – NextGEN Gallery
NextGEN Manage others gallery,nextcellent-gallery-nextgen-legacy,20000,NextCellent Gallery – NextGEN Legacy
NextGEN Manage others gallery,nextgen-gallery,900000,WordPress Gallery Plugin – NextGEN Gallery
NextGEN Manage tags,nextcellent-gallery-nextgen-legacy,20000,NextCellent Gallery – NextGEN Legacy
NextGEN Manage tags,nextgen-gallery,900000,WordPress Gallery Plugin – NextGEN Gallery
NextGEN Upload images,nextcellent-gallery-nextgen-legacy,20000,NextCellent Gallery – NextGEN Legacy
NextGEN Upload images,nextgen-gallery,900000,WordPress Gallery Plugin – NextGEN Gallery
NextGEN Use TinyMCE,nextcellent-gallery-nextgen-legacy,20000,NextCellent Gallery – NextGEN Legacy
NextGEN Use TinyMCE,nextgen-gallery,900000,WordPress Gallery Plugin – NextGEN Gallery
Nginx Helper | Config,nginx-helper,60000,Nginx Helper
Nginx Helper | Purge cache,nginx-helper,60000,Nginx Helper
Show_Admin_Bar_in_Front,dd-roles,200,DD Roles
UM Configure Plugin,user-messages,400,User Messages
UM Ignore Public Msg,user-messages,400,User Messages
UM Receive Msg,user-messages,400,User Messages
UM Refuse Private Msg,user-messages,400,User Messages
UM Send Email Msg,user-messages,400,User Messages
UM Send Private Msg,user-messages,400,User Messages
UM Send Public Msg,user-messages,400,User Messages
UM Use Plugin,user-messages,400,User Messages
WP-CRM: Add User Messages,wp-crm,4000,WP-CRM – Customer Relations Management for WordPress
WP-CRM: Change Color Scheme,wp-crm,4000,WP-CRM – Customer Relations Management for WordPress
WP-CRM: Change Passwords,wp-crm,4000,WP-CRM – Customer Relations Management for WordPress
WP-CRM: Change Role,wp-crm,4000,WP-CRM – Customer Relations Management for WordPress
WP-CRM: Manage Settings,wp-crm,4000,WP-CRM – Customer Relations Management for WordPress
WP-CRM: Perform Advanced Functions,wp-crm,4000,WP-CRM – Customer Relations Management for WordPress
WP-CRM: Send Group Message,wp-crm,4000,WP-CRM – Customer Relations Management for WordPress
WP-CRM: View Detailed Logs,wp-crm,4000,WP-CRM – Customer Relations Management for WordPress
WP-CRM: View Messages,wp-crm,4000,WP-CRM – Customer Relations Management for WordPress
WP-CRM: View Overview,wp-crm,4000,WP-CRM – Customer Relations Management for WordPress
WP-CRM: View Profiles,wp-crm,4000,WP-CRM – Customer Relations Management for WordPress
_debug_objects,debug-objects,800,Debug Objects
_wswebinar_changesettings,wp-webinarsystem,2000,WP WebinarSystem
_wswebinar_createwebinars,wp-webinarsystem,2000,WP WebinarSystem
_wswebinar_managequestions,wp-webinarsystem,2000,WP WebinarSystem
_wswebinar_managesubscribers,wp-webinarsystem,2000,WP WebinarSystem
access_automate_mautic,automate-mautic,400,AutomatePlug – Mautic for WordPress
access_gtmetrix,gtmetrix-for-wordpress,10000,GTmetrix for WordPress
access_kingcomposer,kingcomposer,70000,Page Builder: KingComposer – Free Drag and Drop page builder by King-Theme
access_mageewp_page_layout,mageewp-page-layout,3000,Mageewp Page Layout
access_masterslider,master-slider,100000,Master Slider – Responsive Touch Slider
access_s2member_level0,s2member,30000,"s2Member Framework (Member Roles, Capabilities, Membership, PayPal Members)"
access_s2member_level1,s2member,30000,"s2Member Framework (Member Roles, Capabilities, Membership, PayPal Members)"
access_s2member_level2,s2member,30000,"s2Member Framework (Member Roles, Capabilities, Membership, PayPal Members)"
access_s2member_level3,s2member,30000,"s2Member Framework (Member Roles, Capabilities, Membership, PayPal Members)"
access_s2member_level4,s2member,30000,"s2Member Framework (Member Roles, Capabilities, Membership, PayPal Members)"
access_server_browser,download-manager,100000,WordPress Download Manager
access_touchpoints,ukuupeople-the-simple-crm,1000,CRM: Contact Management Simplified – UkuuPeople
access_ukuupeoples,ukuupeople-the-simple-crm,1000,CRM: Contact Management Simplified – UkuuPeople
access_woocommerce_pos,woocommerce-pos,7000,WooCommerce POS
access_zopim,zopim-live-chat,90000,Zendesk Chat
activate_modules,site-editor,300,Site Editor – WordPress Site Builder – Theme Builder and Page Builder
